SITIO,TTO,EVALUATION,ARBOL,INFEST
citricos ,control,3,1,4.4
citricos ,control,3,2,15.9
citricos ,control,3,3,8.5
citricos ,control,3,4,0.0
citricos ,control,3,5,4.9
citricos ,control,3,6,4.9
citricos ,control,3,7,5.7
citricos ,control,3,8,9.6
citricos ,control,3,9,10.0
citricos ,control,3,10,6.6
citricos ,control,3,11,8.7
citricos ,control,3,12,1.7
citricos ,control,3,13,3.0
citricos ,control,3,14,9.1
citricos ,control,3,15,6.3
citricos ,control,3,16,0.0
citricos ,control,3,17,16.7
citricos ,control,3,18,7.0
citricos ,control,3,19,5.9
citricos ,control,3,20,3.0
citricos ,control,3,21,8.6
citricos ,control,3,22,5.9
citricos ,control,3,23,7.8
citricos ,control,3,24,8.0
citricos ,control,3,25,2.2
citricos ,control,3,26,1.5
citricos ,control,3,27,1.6
citricos ,control,3,28,6.2
citricos ,control,3,29,3.6
citricos ,control,3,30,7.6
citricos ,control,3,31,12.0
citricos ,control,3,32,0.0
citricos ,control,3,33,6.6
citricos ,control,3,34,1.6
citricos ,control,3,35,3.8
citricos ,control,3,36,4.0
citricos ,control,3,37,0.0
citricos ,control,3,38,5.1
citricos ,control,3,39,2.8
citricos ,control,3,40,3.6
citricos ,control,3,41,4.3
citricos ,control,3,42,3.2
citricos ,control,3,43,8.8
citricos ,control,3,44,0.0
citricos ,control,3,45,1.1
citricos ,control,3,46,3.4
citricos ,control,3,47,10.0
citricos ,control,3,48,4.7
citricos ,control,3,49,9.6
citricos ,control,3,50,8.8
citricos ,control,3,51,3.1
citricos ,control,3,52,7.8
citricos ,control,3,53,5.9
citricos ,control,3,54,1.4
citricos ,control,3,55,0.0
citricos ,control,3,56,5.5
citricos ,control,3,57,8.9
citricos ,control,3,58,5.3
citricos ,control,3,59,6.3
citricos ,control,3,60,0.0
citricos ,IPM 1,3,1,7.3
citricos ,IPM 1,3,2,4.4
citricos ,IPM 1,3,3,2.9
citricos ,IPM 1,3,4,6.8
citricos ,IPM 1,3,5,0.0
citricos ,IPM 1,3,6,1.7
citricos ,IPM 1,3,7,0.0
citricos ,IPM 1,3,8,2.4
citricos ,IPM 1,3,9,9.8
citricos ,IPM 1,3,10,2.4
citricos ,IPM 1,3,11,8.7
citricos ,IPM 1,3,12,1.6
citricos ,IPM 1,3,13,0.0
citricos ,IPM 1,3,14,0.9
citricos ,IPM 1,3,15,5.3
citricos ,IPM 1,3,16,5.6
citricos ,IPM 1,3,17,10.3
citricos ,IPM 1,3,18,4.7
citricos ,IPM 1,3,19,3.1
citricos ,IPM 1,3,20,2.3
citricos ,IPM 1,3,21,4.2
citricos ,IPM 1,3,22,5.4
citricos ,IPM 1,3,23,1.8
citricos ,IPM 1,3,24,5.8
citricos ,IPM 1,3,25,0.0
citricos ,IPM 1,3,26,4.1
citricos ,IPM 1,3,27,1.6
citricos ,IPM 1,3,28,0.0
citricos ,IPM 1,3,29,2.3
citricos ,IPM 1,3,30,4.2
citricos ,IPM 1,3,31,1.8
citricos ,IPM 1,3,32,0.0
citricos ,IPM 1,3,33,2.6
citricos ,IPM 1,3,34,1.3
citricos ,IPM 1,3,35,3.1
citricos ,IPM 1,3,36,0.0
citricos ,IPM 1,3,37,4.9
citricos ,IPM 1,3,38,1.4
citricos ,IPM 1,3,39,0.0
citricos ,IPM 1,3,40,6.8
citricos ,IPM 1,3,41,1.4
citricos ,IPM 1,3,42,2.6
citricos ,IPM 1,3,43,3.9
citricos ,IPM 1,3,44,1.3
citricos ,IPM 1,3,45,3.6
citricos ,IPM 1,3,46,0.0
citricos ,IPM 1,3,47,1.9
citricos ,IPM 1,3,48,1.7
citricos ,IPM 1,3,49,1.3
citricos ,IPM 1,3,50,2.4
citricos ,IPM 1,3,51,1.1
citricos ,IPM 1,3,52,7.4
citricos ,IPM 1,3,53,1.6
citricos ,IPM 1,3,54,3.8
citricos ,IPM 1,3,55,1.2
citricos ,IPM 1,3,56,2.9
citricos ,IPM 1,3,57,0.6
citricos ,IPM 1,3,58,0.6
citricos ,IPM 1,3,59,4.7
citricos ,IPM 1,3,60,1.0
citricos ,IPM2,3,1,0.9
citricos ,IPM2,3,2,3.8
citricos ,IPM2,3,3,5.9
citricos ,IPM2,3,4,0.0
citricos ,IPM2,3,5,5.7
citricos ,IPM2,3,6,1.7
citricos ,IPM2,3,7,2.4
citricos ,IPM2,3,8,3.1
citricos ,IPM2,3,9,1.7
citricos ,IPM2,3,10,4.5
citricos ,IPM2,3,11,2.5
citricos ,IPM2,3,12,8.6
citricos ,IPM2,3,13,1.6
citricos ,IPM2,3,14,4.2
citricos ,IPM2,3,15,2.3
citricos ,IPM2,3,16,0.0
citricos ,IPM2,3,17,5.7
citricos ,IPM2,3,18,0.0
citricos ,IPM2,3,19,9.9
citricos ,IPM2,3,20,5.6
citricos ,IPM2,3,21,5.0
citricos ,IPM2,3,22,4.9
citricos ,IPM2,3,23,1.9
citricos ,IPM2,3,24,5.2
citricos ,IPM2,3,25,1.6
citricos ,IPM2,3,26,15.9
citricos ,IPM2,3,27,0.0
citricos ,IPM2,3,28,4.4
citricos ,IPM2,3,29,12.1
citricos ,IPM2,3,30,5.7
citricos ,IPM2,3,31,4.3
citricos ,IPM2,3,32,1.6
citricos ,IPM2,3,33,3.9
citricos ,IPM2,3,34,0.0
citricos ,IPM2,3,35,1.3
citricos ,IPM2,3,36,4.4
citricos ,IPM2,3,37,0.0
citricos ,IPM2,3,38,3.4
citricos ,IPM2,3,39,0.0
citricos ,IPM2,3,40,0.0
citricos ,IPM2,3,41,6.2
citricos ,IPM2,3,42,8.0
citricos ,IPM2,3,43,0.0
citricos ,IPM2,3,44,0.0
citricos ,IPM2,3,45,8.8
citricos ,IPM2,3,46,1.3
citricos ,IPM2,3,47,10.4
citricos ,IPM2,3,48,4.1
citricos ,IPM2,3,49,7.0
citricos ,IPM2,3,50,1.0
citricos ,IPM2,3,51,0.6
citricos ,IPM2,3,52,0.0
citricos ,IPM2,3,53,1.2
citricos ,IPM2,3,54,3.7
citricos ,IPM2,3,55,4.7
citricos ,IPM2,3,56,7.8
citricos ,IPM2,3,57,12.1
citricos ,IPM2,3,58,1.0
citricos ,IPM2,3,59,3.2
citricos ,IPM2,3,60,3.4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,